Simple Multiplication:
33.33, 33.38, 33.43, 33.48, 33.53, 33.58, 33.63, 33.68, 33.73, 33.78, 33.83, 33.88, 33.93, 33.98, 34.03, 34.08, 34.12, 34.17, 34.22, 34.27, 34.32, 34.37, 34.42, 34.47, 34.52, 34.57, 34.62, 34.67, 34.72, 34.77, 34.82, 34.87, 
84.12, 84.27, 84.43, 84.58, 84.73, 84.88, 85.03, 85.19, 85.34, 85.49, 85.64, 85.79, 85.95, 86.10, 86.25, 86.40, 86.55, 86.71, 86.86, 87.01, 87.16, 87.31, 87.47, 87.62, 87.77, 87.92, 88.07, 88.23, 88.38, 88.53, 88.68, 88.83, 
134.91, 135.17, 135.42, 135.68, 135.93, 136.18, 136.44, 136.69, 136.95, 137.20, 137.46, 137.71, 137.96, 138.22, 138.47, 138.73, 138.98, 139.24, 139.49, 139.75, 140.00, 140.25, 140.51, 140.76, 141.02, 141.27, 141.53, 141.78, 142.04, 142.29, 142.54, 142.80, 
185.70, 186.06, 186.42, 186.77, 187.13, 187.49, 187.84, 188.20, 188.56, 188.91, 189.27, 189.63, 189.98, 190.34, 190.70, 191.05, 191.41, 191.77, 192.12, 192.48, 192.84, 193.20, 193.55, 193.91, 194.27, 194.62, 194.98, 195.34, 195.69, 196.05, 196.41, 196.76, 
236.49, 236.95, 237.41, 237.87, 238.33, 238.79, 239.25, 239.71, 240.17, 240.63, 241.08, 241.54, 242.00, 242.46, 242.92, 243.38, 243.84, 244.30, 244.76, 245.22, 245.68, 246.14, 246.60, 247.05, 247.51, 247.97, 248.43, 248.89, 249.35, 249.81, 250.27, 250.73, 
287.28, 287.84, 288.41, 288.97, 289.53, 290.09, 290.65, 291.21, 291.78, 292.34, 292.90, 293.46, 294.02, 294.58, 295.15, 295.71, 296.27, 296.83, 297.39, 297.95, 298.52, 299.08, 299.64, 300.20, 300.76, 301.32, 301.88, 302.45, 303.01, 303.57, 304.13, 304.69, 
338.07, 338.74, 339.40, 340.07, 340.73, 341.39, 342.06, 342.72, 343.39, 344.05, 344.71, 345.38, 346.04, 346.71, 347.37, 348.03, 348.70, 349.36, 350.03, 350.69, 351.35, 352.02, 352.68, 353.35, 354.01, 354.67, 355.34, 356.00, 356.67, 357.33, 357.99, 358.66, 
388.86, 389.63, 390.40, 391.16, 391.93, 392.70, 393.46, 394.23, 395.00, 395.76, 396.53, 397.29, 398.06, 398.83, 399.59, 400.36, 401.13, 401.89, 402.66, 403.43, 404.19, 404.96, 405.72, 406.49, 407.26, 408.02, 408.79, 409.56, 410.32, 411.09, 411.86, 412.62, 
439.65, 440.52, 441.39, 442.26, 443.13, 444.00, 444.87, 445.74, 446.60, 447.47, 448.34, 449.21, 450.08, 450.95, 451.82, 452.69, 453.56, 454.42, 455.29, 456.16, 457.03, 457.90, 458.77, 459.64, 460.51, 461.37, 462.24, 463.11, 463.98, 464.85, 465.72, 466.59, 
490.44, 491.42, 492.39, 493.36, 494.33, 495.30, 496.27, 497.24, 498.21, 499.19, 500.16, 501.13, 502.10, 503.07, 504.04, 505.01, 505.98, 506.96, 507.93, 508.90, 509.87, 510.84, 511.81, 512.78, 513.75, 514.72, 515.70, 516.67, 517.64, 518.61, 519.58, 520.55, 
541.24, 542.31, 543.38, 544.46, 545.53, 546.60, 547.68, 548.75, 549.82, 550.90, 551.97, 553.04, 554.12, 555.19, 556.27, 557.34, 558.41, 559.49, 560.56, 561.63, 562.71, 563.78, 564.85, 565.93, 567.00, 568.08, 569.15, 570.22, 571.30, 572.37, 573.44, 574.52, 
592.03, 593.20, 594.38, 595.55, 596.73, 597.91, 599.08, 600.26, 601.43, 602.61, 603.79, 604.96, 606.14, 607.31, 608.49, 609.67, 610.84, 612.02, 613.19, 614.37, 615.55, 616.72, 617.90, 619.07, 620.25, 621.43, 622.60, 623.78, 624.95, 626.13, 627.31, 628.48, 
642.82, 644.09, 645.37, 646.65, 647.93, 649.21, 650.49, 651.76, 653.04, 654.32, 655.60, 656.88, 658.16, 659.44, 660.71, 661.99, 663.27, 664.55, 665.83, 667.11, 668.38, 669.66, 670.94, 672.22, 673.50, 674.78, 676.05, 677.33, 678.61, 679.89, 681.17, 682.45, 
693.61, 694.99, 696.37, 697.75, 699.13, 700.51, 701.89, 703.27, 704.65, 706.03, 707.41, 708.80, 710.18, 711.56, 712.94, 714.32, 715.70, 717.08, 718.46, 719.84, 721.22, 722.60, 723.98, 725.36, 726.75, 728.13, 729.51, 730.89, 732.27, 733.65, 735.03, 736.41, 
744.40, 745.88, 747.36, 748.85, 750.33, 751.81, 753.30, 754.78, 756.26, 757.75, 759.23, 760.71, 762.20, 763.68, 765.16, 766.64, 768.13, 769.61, 771.09, 772.58, 774.06, 775.54, 777.03, 778.51, 779.99, 781.48, 782.96, 784.44, 785.93, 787.41, 788.89, 790.38, 
795.19, 796.77, 798.36, 799.94, 801.53, 803.12, 804.70, 806.29, 807.87, 809.46, 811.04, 812.63, 814.21, 815.80, 817.39, 818.97, 820.56, 822.14, 823.73, 825.31, 826.90, 828.48, 830.07, 831.66, 833.24, 834.83, 836.41, 838.00, 839.58, 841.17, 842.76, 844.34, 
845.98, 847.67, 849.35, 851.04, 852.73, 854.42, 856.11, 857.79, 859.48, 861.17, 862.86, 864.55, 866.23, 867.92, 869.61, 871.30, 872.99, 874.67, 876.36, 878.05, 879.74, 881.43, 883.11, 884.80, 886.49, 888.18, 889.87, 891.55, 893.24, 894.93, 896.62, 898.31, 
896.77, 898.56, 900.35, 902.14, 903.93, 905.72, 907.51, 909.30, 911.09, 912.88, 914.67, 916.46, 918.25, 920.04, 921.83, 923.62, 925.41, 927.20, 929.00, 930.79, 932.58, 934.37, 936.16, 937.95, 939.74, 941.53, 943.32, 945.11, 946.90, 948.69, 950.48, 952.27, 
947.56, 949.45, 951.34, 953.24, 955.13, 957.02, 958.92, 960.81, 962.70, 964.59, 966.49, 968.38, 970.27, 972.16, 974.06, 975.95, 977.84, 979.74, 981.63, 983.52, 985.41, 987.31, 989.20, 991.09, 992.99, 994.88, 996.77, 998.66, 1000.56, 1002.45, 1004.34, 1006.24, 
998.35, 1000.34, 1002.34, 1004.33, 1006.33, 1008.32, 1010.32, 1012.32, 1014.31, 1016.31, 1018.30, 1020.30, 1022.29, 1024.29, 1026.28, 1028.28, 1030.27, 1032.27, 1034.26, 1036.26, 1038.25, 1040.25, 1042.24, 1044.24, 1046.23, 1048.23, 1050.22, 1052.22, 1054.21, 1056.21, 1058.20, 1060.20, 
1049.14, 1051.24, 1053.33, 1055.43, 1057.53, 1059.63, 1061.72, 1063.82, 1065.92, 1068.02, 1070.12, 1072.21, 1074.31, 1076.41, 1078.51, 1080.60, 1082.70, 1084.80, 1086.90, 1088.99, 1091.09, 1093.19, 1095.29, 1097.38, 1099.48, 1101.58, 1103.68, 1105.77, 1107.87, 1109.97, 1112.07, 1114.16, 
1099.93, 1102.13, 1104.33, 1106.53, 1108.73, 1110.93, 1113.13, 1115.33, 1117.53, 1119.73, 1121.93, 1124.13, 1126.33, 1128.53, 1130.73, 1132.93, 1135.13, 1137.33, 1139.53, 1141.73, 1143.93, 1146.13, 1148.33, 1150.53, 1152.73, 1154.93, 1157.13, 1159.33, 1161.53, 1163.73, 1165.93, 1168.13, 
1150.72, 1153.02, 1155.32, 1157.63, 1159.93, 1162.23, 1164.53, 1166.84, 1169.14, 1171.44, 1173.74, 1176.05, 1178.35, 1180.65, 1182.95, 1185.26, 1187.56, 1189.86, 1192.16, 1194.47, 1196.77, 1199.07, 1201.37, 1203.68, 1205.98, 1208.28, 1210.58, 1212.88, 1215.19, 1217.49, 1219.79, 1222.09, 
1201.51, 1203.92, 1206.32, 1208.72, 1211.13, 1213.53, 1215.94, 1218.34, 1220.75, 1223.15, 1225.56, 1227.96, 1230.37, 1232.77, 1235.18, 1237.58, 1239.99, 1242.39, 1244.80, 1247.20, 1249.61, 1252.01, 1254.42, 1256.82, 1259.23, 1261.63, 1264.04, 1266.44, 1268.84, 1271.25, 1273.65, 1276.06, 
